Player Name,Wickets,Bowl_Innings,Eco_Median,Bowl_Avg,Runs,Bat_Innings,SR_Median,Bat_Avg
Sanvir Singh,29.0,29.0,8.75,27.03,1161.0,40.0,157.14,29.02
Akash Parkar,18.0,15.0,8.67,22.0,329.0,16.0,129.09,20.56
Simarjeet Singh,46.0,30.0,8.75,20.13,56.0,11.0,75.0,5.09
Mayank Dagar,6.0,10.0,8.18,42.67,0.0,2.0,0.0,0.0
Saurav Chauhan,0.0,0.0,12.0,99.0,641.0,26.0,139.23,24.65
Roshan Waghsare,18.0,21.0,7.92,31.5,17.0,4.0,50.0,4.25
Upendra Yadav,0.0,0.0,12.0,99.0,371.0,14.0,136.83,26.5
Kumar Kartikeya Singh,41.0,36.0,8.0,22.83,66.0,14.0,94.12,4.71
Ravi Yadav,0.0,1.0,8.0,32.0,0.0,0.0,100.0,0.0
Kamlesh Nagarkoti,5.0,3.0,6.75,17.2,0.0,2.0,0.0,0.0
Aaqib Khan,17.0,21.0,9.5,35.59,33.0,11.0,50.0,3.0
Anmolpreet Singh,14.0,10.0,8.25,15.71,1489.0,39.0,136.36,38.18
PP Jaiswal,20.0,18.0,8.5,23.9,37.0,6.0,212.5,6.17
Mohamed Ali,12.0,16.0,9.59,27.0,308.0,17.0,133.33,18.12
Saumy Pandey,11.0,12.0,8.66,31.27,5.0,4.0,50.0,1.25
Ayaz Khan 1,0.0,0.0,12.0,99.0,0.0,0.0,100.0,0.0
Virat Singh,0.0,0.0,12.0,99.0,41.0,1.0,136.67,41.0
Karan Sharma,10.0,19.0,7.0,31.4,1417.0,44.0,115.81,32.2
Vasu Vats,23.0,19.0,9.0,25.17,11.0,7.0,25.0,1.57
