Player Name,Past_Price_2025,Past_Team_2025,Sold_2025
Madhav Kaushik,0.0,,True
Tanay Thyagarajan,,,
Rajan Kumar,0.0,,True
Kunal Ajay Rathore,,,
Vignesh Puthur,0.3,MI,True
Luvnith Sisodia,0.3,KKR,True
Ankit Rajpoot,,,
Tushar Raheja,,,
Mayank Rawat,,,
Sachin Dhas,0.0,,True
Ricky Bhui,,,
Aradhya Shukla,,,
Sudip Kumar Gharami,,,
Bharat Sharma,,,
Basil Thampi,0.0,,True
Raj Limbani,0.0,,True
Anmol Malhotra,,,
Sushant Mishra,,,
Maruthungal Ajinas,,,
Pulkit Narang,,,
Mujtaba Yousuf,,,
Vineet Panwar,,,
R Sonu Yadav,,,
Avneesh Sudha,,,
Avinash Singh,0.0,,True
Nishunk Birla,,,
Tejasvi Dahiya,0.0,,True
Yugal Saini,,,
Ayush Doseja,,,
Shivam Gupta,,,
Samarth Seth,,,
Rajneesh Dadar,,,
Manan Bhardwaj,,,
Aaradhya Yadav,,,
Sumeet Verma,,,
Shaik Rasheed,0.3,CSK,True
Ayush Vartak,,,
Akash Vasisht,,,
Abhinav Manohar,3.2,SRH,True
Prayas Ray Barman,,,
Kartik Chadha,,,
Abhay Kamal Choudhary,,,
Rohan Rana,,,
Naman Tiwari,0.0,,True
Mukhtar Hussain,,,
Vidyadhar Patil,,,
Sakib Hussain,0.0,,True
Kritagya Singh,,,
Digvijay Deshmukh,0.0,,True
Slakshy Jain,,,
Dhruv Kaushik,,,
Girinath Reddy,,,
Abid Mushtaq,,,
Priyam Garg,0.0,,True
Murugan Ashwin,0.0,,True
Lalit Yadav,0.0,,True
Jonty Sidhu,,,
Sohrab Dhaliwal,,,
Sachin Baby,0.3,SRH,True
Shubham Shubham Agarwal,,,
Prerak Mankad,0.0,,True
Sanjay Yadav,0.0,,True
Baba Indrajith,,,
Atharva Kale,,,
Sumit Kumar 1,,,
Akash Madhwal,1.2,RR,True
Andre Siddharth,,,
Amandeep Khare,,,
Saransh Subodh Jain,,,
Hardik Raj,,,
P Vignesh,,,
Kaushik Maity,,,
Hrithik Shokeen,0.0,,True
Manan Vohra,,,
Abdul Basith,0.0,,True
Atharva Ankolekar,,,
Himanshu Sharma,,,
Prince Choudhary,0.0,,True
Shiva Singh,0.0,,True
Arpit Guleria,0.0,,True
Rajvardhan Hangargekar,,,
Suyash Prabhudessai,,,
Abhijeet Tomar,,,
Harsh Tyagi,,,
Himanshu Singh,,,
Darshan Nalkande,0.3,DC,True
Shashwat Rawat,,,
Gaurav Gambhir,,,
Utkarsh Singh,0.0,,True
Atit Sheth,0.0,,True
Vijay Shankar,1.2,CSK,True
Shubham Garhwal,,,
Dipesh Parwani,,,
Akhil Chaudhary,,,
Apoorv Wankhade,,,
L Manvanth Kumar,,,
Vansh Bedi,0.55,CSK,True
LR Chethan,0.0,,True
Raghav Goyal,0.0,,True
Abhilash Shetty,,,
Money Grewal,,,
Shivalik Sharma,0.0,,True
Mohammed Azharuddeen,,,
Ayush Pandey,,,
Uday Saharan,,,
Praveen Dubey,0.3,PBKS,True
Shubham Kapse,,,
Himanshu Chauhan,,,
Yuvraj Chudasama,,,
Sanvir Singh,,,
Akash Parkar,,,
Simarjeet Singh,1.5,SRH,True
Mayank Dagar,0.0,,True
Saurav Chauhan,,,
Roshan Waghsare,,,
Upendra Yadav,0.0,,True
Kumar Kartikeya Singh,,,
Ravi Yadav,,,
Kamlesh Nagarkoti,0.3,CSK,True
Aaqib Khan,0.0,,True
Anmolpreet Singh,0.0,,True
PP Jaiswal,,,
Mohamed Ali,,,
Saumy Pandey,,,
Ayaz Khan 1,,,
Virat Singh,0.0,,True
Karan Sharma,,,
Vasu Vats,,,
